"recid_use","p_current_age","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","p_current_age18","p_current_age1929","p_current_age3039","p_current_age4049","p_current_age5059","p_current_age60plus","p_property0","p_property13","p_property46","p_property79","p_property10up","prior_conviction_M01","prior_conviction_M24","prior_conviction_M57","prior_conviction_M810","prior_conviction_M11up","p_charge0","p_charge13","p_charge45","p_charge67","p_charge810","p_charge11up","p_felprop_violarrest0","p_felprop_violarrest1","p_felprop_violarrest2","p_felprop_violarrest3","p_felprop_violarrest46","p_felprop_violarrest7up","total_convictions0","total_convictions1","total_convictions2","total_convictions3","total_convictions46","total_convictions7up"
-1,23,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,1,2,2,3,4,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,1,NA,0
1,21,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,1,0,4,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
-1,32,3,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,2,1,1,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,NA,0
1,31,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,1,5,43,2,0,10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
1,27,4,1,1,0,1,0,0,0,1,0,0,0,NA,NA,1,0,1,1,2,1,3,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,1,NA,0
-1,25,3,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,2,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,NA,0
-1,58,5,0,2,5,0,5,0,0,0,0,0,0,NA,NA,1,0,26,13,5,12,5,45,5,0,14,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0
-1,47,5,0,0,3,0,0,0,0,1,0,0,0,NA,NA,1,0,5,3,3,0,5,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
-1,55,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,2,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,1,0,0,0,NA,0
1,32,5,0,2,4,0,3,0,0,0,0,0,0,0,0,1,0,18,5,5,3,5,49,5,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0
-1,25,5,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,1,0,NA,0
-1,35,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,NA,0
1,51,5,0,2,0,0,2,0,0,2,0,5,0,NA,NA,1,0,2,2,1,6,3,11,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,1,NA,0
-1,40,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,18,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,36,5,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,3,2,2,1,4,10,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0
1,46,5,0,4,1,0,5,0,0,0,0,0,0,NA,NA,1,0,21,7,5,13,5,38,5,3,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0
-1,50,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,20,5,0,0,0,0,2,0,0,1,0,0,0,NA,NA,0,0,4,2,0,3,2,7,3,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,1,0,NA,0
-1,41,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,42,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,NA,0
-1,23,3,0,0,0,0,0,0,1,2,0,0,0,NA,NA,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,NA,0
-1,25,3,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,3,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,18,5,0,0,0,0,5,0,0,0,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,18,3,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,55,4,0,0,2,0,0,0,1,1,0,0,0,NA,NA,1,0,0,2,1,1,3,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,1,NA,0
1,27,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,2,0,5,0,5,4,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
1,28,5,0,0,1,0,2,0,0,0,0,0,0,NA,NA,1,0,2,3,2,1,5,15,4,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0
1,22,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,NA,0
-1,32,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,9,0,2,0,2,14,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,1,0,NA,0
-1,37,5,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,NA,0
-1,51,2,0,0,0,0,0,0,1,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,42,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,4,1,5,11,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
1,23,5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,8,1,5,2,5,13,4,0,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0
-1,50,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7,1,4,0,5,11,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
-1,24,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,30,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,5,0,5,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0
-1,33,2,0,0,1,0,1,0,0,1,0,0,0,NA,NA,1,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,1,0,0,NA,0
-1,29,5,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,2,0,3,1,3,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,1,NA,0
-1,31,5,0,0,1,0,4,0,0,1,0,0,0,NA,NA,0,0,13,8,3,5,5,22,5,0,8,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0
-1,21,3,0,0,0,0,3,0,0,0,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
1,30,5,0,1,3,0,1,0,5,3,0,0,0,NA,NA,1,0,14,3,5,14,5,29,1,0,7,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0
1,28,5,0,0,1,0,0,0,0,0,0,0,1,NA,NA,0,0,1,0,2,0,2,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,NA,0
1,23,5,0,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,1,0,1,1,3,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,1,0,0,NA,0
-1,30,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,20,5,0,0,1,2,2,0,0,0,0,0,0,NA,NA,0,0,1,2,1,2,3,11,3,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,1,NA,0
-1,22,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,24,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,28,5,0,0,1,0,0,0,1,1,0,0,0,NA,NA,1,0,5,0,4,4,4,8,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
-1,25,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,63,3,0,0,1,0,1,0,0,0,0,0,0,NA,NA,1,0,0,1,0,1,1,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,1,0,0,NA,0
-1,57,2,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,23,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,1,0,0,0,NA,0
-1,31,5,0,0,1,0,0,0,3,3,0,0,0,NA,NA,1,0,5,3,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,1,NA,0
1,32,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,NA,0
1,34,5,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,2,0,3,1,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,1,NA,0
-1,26,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,36,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,NA,0
-1,40,5,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,4,3,1,2,5,16,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0
-1,20,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,29,2,0,0,0,0,0,0,0,2,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,19,5,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,1,5,2,2,2,4,4,5,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0
1,18,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,22,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,43,5,1,2,1,0,3,0,0,1,0,0,0,0,0,1,0,14,11,4,3,5,27,4,0,10,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0
-1,21,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,50,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,1,0,0,0,NA,0
1,29,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,10,4,5,2,5,25,4,0,12,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0
-1,28,2,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,NA,0
1,20,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,3,3,10,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,1,NA,0
-1,65,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,25,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,23,5,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1,0,4,0,4,1,4,9,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
-1,19,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,2,0,1,2,9,4,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,1,0,NA,0
-1,60,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,41,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,27,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
