,,,violent,drug,burglary/fraud,drinking/driving,I'm not sure,stalking,prostitution,stuff homeless people do,weird misdemeanors,weapons,driving
Poss Contr Subst W/o Prescript,,,,x,,,,,,,,,
Aggrav Stalking After Injunctn,,,x,,,,,,,,,,
Crim Use of Personal ID Info,,,,,x,,,,,,,,
Resist/Obstruct W/O Violence,,,,,,,?,,,,,,
Petit Theft,,,,,x,,,,,,,,
Disorderly Intoxication,,,,,,x,,,,,,,
Lewdness Violation,,,,,,,,,,,x,,
Poss Pyrrolidinovalerophenone,,,,x,,,,,,,,,
Assault,,,x,,,,,,,,,,
Fail To Obey Police Officer,,,,,,,?,,,,,,
Solicit Purchase Cocaine,,,,x,,,,,,,,,
Felony Petit Theft,,,,,x,,,,,,,,
Grand Theft in the 1st Degree,,,,,x,,,,,,,,
Driving Under The Influence,,,,,,x,,,,,,,
,,,,,,,,,,,,,
Possession Of Carisoprodol,,,,x,,,,,,,,,
Burglary Conveyance Assault/Bat,,,x,,x,,,,,,,,
"Deliver 3,4 Methylenediox",,,,x,,,,,,,,,
Aggravated Assault W/dead Weap,,,x,,,,,,,,,,
Leave Acc/Attend Veh/More $50,,,,,,x,,,,,,,
Burglary Unoccupied Dwelling,,,,,x,,,,,,,,
Child Abuse,,,x,,,,,,,,,,
Agg Battery Grt/Bod/Harm,,,x,,,,,,,,,,
Lewd or Lascivious Molestation,,,x,,,,,,,,,,
Sexual Performance by a Child,,,,,,,?,,,,,,
Leaving Acc/Unattended Veh,,,,,x,,,,,,,,
Fleeing Or Attmp Eluding A Leo,,,,,,,?,,,,,,
Criminal Mischief,,,,,x,,,,,,,,
Aggrav Battery w/Deadly Weapon,,,x,,,,,,,,,,
Trespass Struct/Conveyance,,,,,x,,,,,,,,
DUI Property Damage/Injury,,,,,x,,,,,,,,
Aggravated Battery (Firearm/Actual Possession),,,x,,,,,,,,,,
Robbery / No Weapon,,,,,x,,,,,,,,
Grand Theft (Motor Vehicle),,,,,x,,,,,,,,
Robbery / Weapon,,,x,,x,,,,,,,,
Burglary With Assault/battery,,,x,,x,,,,,,,,
Voyeurism,,,,,,,,x,,,,,
False Imprisonment,,,,,,,?,,,,,,
Prowling/Loitering,,,,,,,,,,x,,,
Viol Prot Injunc Repeat Viol,,,x,,,,,,,,,,
Throw In Occupied Dwell,,,,,,,?,,,x,,,
Burglary Conveyance Unoccup,,,,,x,,,,,,,,
Unauth Poss ID Card or DL,,,,,x,,,,,,,,
Opert With Susp DL 2nd Offens,,,,,,x,,,,,,,
Failure To Return Hired Vehicle,,,,,x,,,,,,,,
Agg Fleeing/Eluding High Speed,,,,,,,?,,,,,,
Attempted Robbery  No Weapon,,,,,x,,,,,,,,
Resist Officer w/Violence,,,x,,,,,,,,,,
Battery On Parking Enfor Speci,,,x,,,,,,,,,,
Corrupt Public Servant,,,,,x,,?,,,,,,
Robbery Sudd Snatch No Weapon,,,,,x,,,,,,,,
Forging Bank Bills/Promis Note,,,,,x,,,,,,,,
Felony/Driving Under Influence,,,,,,x,,,,,,,
Tamper With Witness/Victim/CI,,,,,,,?,,,,,,
Throw Deadly Missile Into Veh,,,x,,,,,,,,,,
Exposes Culpable Negligence,,,,,,,?,,,,,,
Use Scanning Device to Defraud,,,,,x,,,,,,,,
Leaving the Scene of Accident,,,,,,,?,,,,,,
Crimin Mischief Damage $1000+,,,,,x,,,,,,,,
Fleeing or Eluding a LEO,,,,,,,?,,,,,,
Possession of Ethylone,,,,x,,,,,,,,,
Aggravated Battery,,,x,,,,,,,,,,
Felony DUI (level 3),,,,,,x,,,,,,,
Fraudulent Use of Credit Card,,,,,x,,,,,,,,
Drivg While Lic Suspd/Revk/Can,,,,,,x,,,,,,,
Burglary Dwelling Occupied,,,,,x,,,,,,,,
Cash Item w/Intent to Defraud,,,,,x,,,,,,,,
False Bomb Report,,,,,,,,,,,x,,
Leave Accd/Attend Veh/Less $50,,,,,x,,,,,,,,
Fail Register Vehicle,,,,,,,,,,,,,x
Trespassing/Construction Site,,,,,,,,,,x,,,
Reckless Driving,,,,,,x,,,,,,,
Consp Traff Oxycodone 28g><30k,,,,x,,,,,,,,,
Unemployment Compensatn Fraud,,,,,x,,,,,,,,
Sexual Battery / Vict 12 Yrs +,,,x,,,,,,,,,,
Neglect Child / No Bodily Harm,,,,,,,?,,,,,,
Criminal Mischief Damage <$200,,,,,x,,,,,,,,
Aggravated Assault,,,x,,,,,,,,,,
Disorderly Conduct,,,,,,x,,,,x,,,
Viol Pretrial Release Dom Viol,,,x,,,,,,,,,,
Petit Theft $100- $300,,,,,x,,,,,,,,
Att Burgl Unoccupied Dwel,,,,,x,,,,,,,,
Grand Theft Firearm,,,,,x,,,,,,,,
Failure To Pay Taxi Cab Charge,,,,,x,,,,,,,,
Burglary Conveyance Occupied,,,,,x,,,,,,,,
Manslaughter W/Weapon/Firearm,,,x,,,,,,,,,,
Arson II (Vehicle),,,,,x,,,,,,,,
Violation of Injunction Order/Stalking/Cyberstalking,,,,,,,,x,,,,,
Obstruct Fire Equipment,,,,,,,?,,,,,,
Deliver Alprazolam,,,,x,,,,,,,,,
Manufacture Cannabis,,,,x,,,,,,,,,
Attempted Robbery Firearm,,,,,x,,,,,,,,
Fail To Secure Load,,,,,,,?,,,,,,
Battery on a Person Over 65,,,x,,,,,,,,,,
Felony Battery,,,x,,,,,,,,,,
Fel Drive License Perm Revoke,,,,,,x,,,,,,,
Deliver Cannabis,,,,x,,,,,,,,,
Deliver Cocaine 1000FT Church,,,,x,,,,,,,,,
Possession of Hydromorphone,,,,x,,,,,,,,,
Simulation of Legal Process,,,,,,,?,,,,,,
Defrauding Innkeeper,,,,,x,,,,,,,,
Grand Theft of a Fire Extinquisher,,,,,,,,,,,x,,
Fighting/Baiting Animals,,,,,,,,,,,x,,
Att Burgl Conv Occp,,,,,x,,,,,,,,
Depriv LEO of Protect/Communic,,,,,,,?,,,,,,
Delivery of 5-Fluoro PB-22,,,,x,,,,,,,,,
Open Carrying Of Weapon,,,,,,,,,,,,x,
Pos Cannabis For Consideration,,,,x,,,,,,,,,
Uttering Forged Bills,,,,,x,,,,,,,,
Expired DL More Than 6 Months,,,,,,,,,,,,,x
Stalking,,,,,,,,x,,,,,
Trespass Structure/Conveyance,,,,,,,,,,x,,,
DUI - Enhanced,,,,,,x,,,,,,,
Sex Offender Fail Comply W/Law,,,x,,,,,,,,,,
Battery Emergency Care Provide,,,x,,,,,,,,,,
Sale/Del Counterfeit Cont Subs,,,,,x,,,,,,,,
Possession Child Pornography,,,,,,,,,,,x,,
Lve/Scen/Acc/Veh/Prop/Damage,,,,,x,,,,,,,,
Sex Battery Deft 18+/Vict 11-,,,x,,,,,,,,,,
Posses/Disply Susp/Revk/Frd DL,,,,x,,,,,,,,,
DUI Blood Alcohol Above 0.20,,,,,,x,,,,,,,
Burglary Conveyance Armed,,,,,x,,,,,,,,
Crim Attempt/Solicit/Consp,,,,,x,,,,,,,,
License Suspended Revoked,,,,,,x,,,,,,,
Live on Earnings of Prostitute,,,,,,,,,x,,,,
Robbery W/Firearm,,,x,,,,,,,,,,
Money Launder 100K or More Dols,,,,,x,,,,,,,,
Aggravated Assault W/o Firearm,,,x,,,,,,,,,,
Poss Unlaw Issue Driver Licenc,,,,,,,,,,,,,x
Theft/To Deprive,,,,,x,,,,,,,,
Retail Theft $300 1st Offense,,,,,x,,,,,,,,
Intoxicated/Safety Of Another,,,,,,x,,,,,,,
Gambling/Gamb Paraphernalia,,,,,,,x,,,,,,
Neglect/Abuse Elderly Person,,,x,,,,,,,,,,
Traffick Amphetamine 28g><200g,,,,x,,,,,,,,,
Grand Theft In The 3Rd Degree,,,,,x,,,,,,,,
Poss Of Controlled Substance,,,,x,,,,,,,,,
Del of JWH-250 2-Methox 1-Pentyl,,,,x,,,,,,,,,
Purchasing Of Alprazolam,,,,x,,,,,,,,,
Unauthorized Interf w/Railroad,,,,,,,,,,,x,,
Possession Of Lorazepam,,,,x,,,,,,,,,
Restraining Order Dating Viol,,,x,,,,,,,,,,
Solic to Commit Battery,,,x,,,,,,,,,,
Carjacking with a Firearm,,,,,x,,,,,,,,
Culpable Negligence,,,,,,,?,,,,,,
Criminal Mischief>$200<$1000,,,,,x,,,,,,,,
Delivery of Heroin,,,,x,,,,,,,,,
DUI - Property Damage/Personal Injury,,,,,,x,,,,,,,
Exploit Elderly Person 20-100K,,,,,x,,,,,,,,
Poss of Methylethcathinone,,,,x,,,,,,,,,
Possession Of Buprenorphine,,,,x,,,,,,,,,
Tresspass Struct/Conveyance,,,,,,,,,,x,,,
Poss Alprazolam W/int Sell/Del,,,,x,,,,,,,,,
Offer Agree Secure For Lewd Act,,,,,,,,,x,,,,
Prostitution/Lewdness/Assign,,,,,,,,,x,,,,
Neglect Child / Bodily Harm,,,x,,,,,,,,,,
Trespass Structure w/Dang Weap,,,,,x,,,,,,,,
Possession of Benzylpiperazine,,,,x,,,,,,,,,
Cruelty Toward Child,,,x,,,,,,,,,,
Prostitution/Lewd Act Assignation,,,,,,,,,x,,,,
Grand Theft Dwell Property,,,,,x,,,,,,,,
Sound Articles Over 100,,,,,,,?,,,,,,
Burgl Dwel/Struct/Convey Armed,,,,,x,,,,,,,,
Ride Tri-Rail Without Paying,,,,,x,,,,,,,,
Disrupting School Function,,,,,,,,,,,x,,
Strong Armed  Robbery,,,,,x,,,,,,,,
Poss Trifluoromethylphenylpipe,,,,x,,,,,,,,,
Felony Batt(Great Bodily Harm),,,x,,,,,,,,,,
Carry Open/Uncov Bev In Pub,,,,,,x,,,,x,,,
Possession of Hydrocodone,,,,x,,,,,,,,,
Agg Assault Law Enforc Officer,,,x,,,,,,,,,,
Agg Assault W/int Com Fel Dome,,,x,,,,,,,,,,
Poss Cntrft Contr Sub w/Intent,,,,x,,,,,,,,,
Counterfeit Lic Plates/Sticker,,,,,x,,,,,,,,
Possession of Butylone,,,,x,,,,,,,,,
Sale/Del Cannabis At/Near Scho,,,,x,,,,,,,,,
Poss of Firearm by Convic Felo,,,,,,,,,,,,x,
Refuse to Supply DNA Sample,,,,,,,?,,,,,,
Stalking (Aggravated),,,,,,,,x,,,,,
Sel/Pur/Mfr/Del Control Substa,,,,x,,,,,,,,,
Poss Drugs W/O A Prescription,,,,x,,,,,,,,,
Poss of Cocaine W/I/D/S 1000FT Park,,,,x,,,,,,,,,
Lewd Act Presence Child 16-,,,,,,,,,,,x,,
Soliciting For Prostitution,,,,,,,,,x,,,,
Extradition/Defendants,,,,,,,?,,,,,,
Refuse Submit Blood/Breath Test,,,,,,,?,,,,,,
Trespass Other Struct/Conve,,,,,x,,,,,,,,
Solicit Deliver Cocaine,,,,x,,,,,,,,,
Attempt Burglary (Struct),,,,,x,,,,,,,,
Felon in Pos of Firearm or Amm,,,,,,,,,,,,x,
Burglary Dwelling Armed,,,,,x,,,,,,,,
DWI w/Inj Susp Lic / Habit Off,,,,,,x,,,,,,,
DUI- Enhanced,,,,,,x,,,,,,,
Violation License Restrictions,,,,,,,,,,,,,x
"Aggr Child Abuse-Torture,Punish",,,x,,,,,,,,,,
Purchase Cannabis,,,,x,,,,,,,,,
Use of Anti-Shoplifting Device,,,,,x,,,,,,,,
Possess Countrfeit Credit Card,,,,,x,,,,,,,,
Robbery W/Deadly Weapon,,,,,x,,,,,,,,
Poss Counterfeit Payment Inst,,,,,x,,,,,,,,
D.U.I. Serious Bodily Injury,,,,,,x,,,,,,,
Poss Anti-Shoplifting Device,,,,,x,,,,,,,,
Threat Public Servant,,,,,,,,,,,x,,
Use Of 2 Way Device To Fac Fel,,,,,x,,,,,,,,
Escape,,,,,,,?,,,,,,
DUI/Property Damage/Persnl Inj,,,,,,x,,,,,,,
Hiring with Intent to Defraud,,,,,x,,,,,,,,
Carrying A Concealed Weapon,,,,,,,,,,,,x,
Solicitation On Felony 3 Deg,,,,,,,?,,,,,,
Video Voyeur-<24Y on Child >16,,,,,,,,x,,,,,
Sell or Offer for Sale Counterfeit Goods,,,,,x,,,,,,,,
Throw Missile Into Pub/Priv Dw,,,,,,,?,,,,,,
Crim Use Of Personal Id Info,,,,,x,,,,,,,,
Possession Of Diazepam,,,,x,,,,,,,,,
Burglary Structure Assault/Batt,,,x,,x,,,,,,,,
Shoot In Occupied Dwell,,,x,,,,,,,,,,
Battery On A Person Over 65,,,x,,,,,,,,,,
Fail To Redeliver Hire Prop,,,,,x,,,,,,,,
Unl/Disturb Education/Instui,,,,,,,,,,,x,,
Violation Of Boater Safety Id,,,,,,,,,,,,,x
False Motor Veh Insurance Card,,,,,,,,,,,,,x
DWLS Susp/Cancel Revoked,,,,,,,,,,,,,x
Viol Injunction Protect Dom Vi,,,x,,,,?,,,,,,
Aggrav Child Abuse-Agg Battery,,,x,,,,,,,,,,
Deliver Cocaine 1000FT Store,,,,x,,,,,,,,,
Aggravated Battery On 65/Older,,,x,,,,,,,,,,
Possess/Use Weapon 1 Deg Felon,,,,,,,,,,,,x,
Fail Obey Driv Lic Restrictions,,,,,,,,,,,,,x
Carjacking w/o Deadly Weapon,,,,,x,,,,,,,,
Contribute Delinquency Of A Minor,,,,,,,,,,,x,,
Aggrav Child Abuse-Causes Harm,,,x,,,,,,,,,,
Imperson Public Officer or Emplyee,,,,,x,,,,,,,,
Possession of Codeine,,,,x,,,,,,,,,
Tamper With Victim,,,,,,,?,,,,,,
Abuse Without Great Harm,,,,,,,?,,,,,,
Compulsory Sch Attnd Violation,,,,,,,?,,,,,,
Battery On Fire Fighter,,,x,,,,,,,,,,
Oper Motorcycle W/O Valid DL,,,,,,,,,,,,,x
Aiding Escape,,,,,,,?,,,,,,
Traffick Hydrocodone   4g><14g,,,,x,,,,,,,,,
Poss/Sell/Del Cocaine 1000FT Sch,,,,x,,,,,,,,,
Poss/pur/sell/deliver Cocaine,,,,x,,,,,,,,,
Del Morphine at/near Park,,,,x,,,,,,,,,
Giving False Crime Report,,,,,,,?,,,,,,
Felony Committing Prostitution,,,,,,,,,x,,,,
Possess Tobacco Product Under 18,,,,,,,?,,,,,,
Murder in the First Degree,,,x,,,,,,,,,,
Use Computer for Child Exploit,,,,,x,,,,,,x,,
Traff In Cocaine <400g>150 Kil,,,,x,,,,,,,,,
Murder In 2nd Degree W/firearm,,,x,,,,,,,,,,
Grand Theft (motor Vehicle),,,,,x,,,,,,,,
Poss Meth/Diox/Meth/Amp (MDMA),,,,x,,,,,,,,,
Trans/Harm/Material to a Minor,,,x,,,,,,,,,,
Harass Witness/Victm/Informnt,,,,,,,?,,,,,,
Grand Theft of the 2nd Degree,,,,,x,,,,,,,,
Possession Of Phentermine,,,,x,,,,,,,,,
Poss Of RX Without RX,,,,x,,,,,,,,,
Interference with Custody,,,,,,,?,,,,,,
Traffic Counterfeit Cred Cards,,,,,x,,,,,,,,
"Possession Of 3,4Methylenediox",,,,x,,,,,,,,,
Crlty Twrd Child Urge Oth Act,,,x,,,,,,,,,,
Dealing in Stolen Property,,,,,x,,,,,,,,
Obtain Control Substance By Fraud,,,,x,x,,,,,,,,
Tampering with a Victim,,,,,,,?,,,,,,
Poss Pyrrolidinovalerophenone W/I/D/S,,,,x,,,,,,,,,
Solicit To Deliver Cocaine,,,,x,,,,,,,,,
Pos Methylenedioxymethcath W/I/D/S,,,,x,,,,,,,,,
Offn Against Intellectual Prop,,,,,,,?,,,,,,
"Poss Of 1,4-Butanediol",,,,x,,,,,,,,,
Poss F/Arm Delinq,,,,,,,,,,,,x,
Poss/Sell/Deliver Clonazepam,,,,x,,,,,,,,,
Attempted Robbery  Weapon,,,,,x,,,,,,,,
Traffick Oxycodone     4g><14g,,,,x,,,,,,,,,
Interfere W/Traf Cont Dev RR,,,,,,,,,,,x,,
Tresspass in Structure or Conveyance,,,,,,x,,,,x,,,
Attempted Burg/Convey/Unocc,,,,,,x,,,,,,,
Att Burgl Struc/Conv Dwel/Occp,,,,,,x,,,,,,,
Murder in 2nd Degree,,,x,,,,,,,,,,
Fabricating Physical Evidence,,,,,,,?,,,,,,
DOC/Cause Public Danger,,,,,,,,,,,x,,
Fail Sex Offend Report Bylaw,,,,,,,,,,,,,
Contradict Statement,,,,,,,?,,,,,,
Unlaw Lic Use/Disply Of Others,,,,,,,?,,,,,,
"Del 3,4 Methylenedioxymethcath",,,,x,,,,,,,,,
Possession Of Amphetamine,,,,x,,,,,,,,,
Discharge Firearm From Vehicle,,,,,,,?,,,,,,
Lease For Purpose Trafficking,,,,x,,,,,,,,,
Lewd/Lasciv Molest Elder Persn,,,x,,,,,,,,,,
Opert With Susp DL 2ND Offense,,,,,,x,,,,,,,
Del Cannabis At/Near Park,,,,x,,,,,,,,,
Burglary Assault/Battery Armed,,,,,x,,,,,,,,
DWLS Canceled Disqul 1st Off,,,,,,,,,,,,,x
Bribery Athletic Contests,,,,,x,,,,,,,,
Grand Theft on 65 Yr or Older,,,,,x,,,,,,,,
Crim Attempt/Solic/Consp,,,,,,,?,,,,,,
Poss/Sell/Del/Man Amobarbital,,,,x,,,,,,,,,
Kidnapping / Domestic Violence,,,x,,,,,,,,,,
Cruelty to Animals,,,,,,,?,,,,,,
Trespass Private Property,,,,,,,,,,x,,,
Unauth C/P/S Sounds>1000/Audio,,,,,,,?,,,,,,
Obstruct Officer W/Violence,,,x,,,,,,,,,,
Cause Anoth Phone Ring Repeat,,,,,,,?,,,,,,
Poss Unlaw Issue Id,,,,,,,?,,,,,,
PL/Unlaw Use Credit Card,,,,,x,,,,,,,,
Possession of LSD,,,,x,,,,,,,,,
Tamper With Witness,,,,,,,?,,,,,,
Possession Of Cocaine,,,,x,,,,,,,,,
Harm Public Servant Or Family,,,,,,,?,,,,,,
Possess Cannabis 1000FTSch,,,,x,,,,,,,,,
Consp Traff Oxycodone  4g><14g,,,,x,,,,,,,,,
Consume Alcoholic Bev Pub,,,,x,,,,,,,,,
Shoot Into Vehicle,,,,,,,?,,,,,,
Battery Spouse Or Girlfriend,,,x,,,,,,,,,,
Delivery Of Drug Paraphernalia,,,,x,,,,,,,,,
Theft,,,,,x,,,,,,,,
Misuse Of 911 Or E911 System,,,,,,,,,,,x,,
Uttering Forged Credit Card,,,,,x,,,,,,,,
Retail Theft $300 2nd Offense,,,,,x,,,,,,,,
Agg Abuse Elderlly/Disabled Adult,,,x,,,,,,,,,,
Accessory After the Fact,,,,,,,?,,,,,,
Prostitution,,,,,,,,,x,,,,
Poss Similitude of Drivers Lic,,,,,,,,,,,,,x
Present Proof of Invalid Insur,,,,,x,,,,,,,,
Structuring Transactions,,,,,x,,,,,,,,
Principal In The First Degree,,,,,,,?,,,,,,
Assault Law Enforcement Officer,,,x,,,,,,,,,,
Possession Of Fentanyl,,,,x,,,,,,,,,
Del Cannabis For Consideration,,,,x,,,,,,,,,
Possess w/I/Utter Forged Bills,,,,,x,,,,,,,,
False Info LEO During Invest,,,,,,,?,,,,,,
Possess Mot Veh W/Alt Vin #,,,,,x,,,,,,,,
Littering,,,,,,,,,,x,x,,
Possession Of Paraphernalia,,,,,,,?,,,,,,
Criminal Attempt 3rd Deg Felon,,,,,,,?,,,,,,
Possess Weapon On School Prop,,,,,,,,,,,,x,
Possession of Alcohol Under 21,,,,,,x,,,,,,,
Unlicensed Telemarketing,,,,,x,,,,,,,,
Issuing a Worthless Draft,,,,,x,,,,,,,,
Conspiracy to Deliver Cocaine,,,,x,,,,,,,,,
Fraud Obtain Food or Lodging,,,,,x,,,,,,,,
Aide/Abet Prostitution Lewdness,,,,,,,,,x,,,,
Arson in the First Degree,,,,,,,,,,,x,,
Possession Firearm School Prop,,,,,,,,,,,,x,
Falsely Impersonating Officer,,,,,x,,,,,,,,
Poss Oxycodone W/Int/Sell/Del,,,,x,,,,,,,,,
Poss of Vessel w/Altered ID NO,,,,x,,,,,,,,,
Poss Pyrrolidinobutiophenone,,,,x,,,,,,,,,
Conspiracy Dealing Stolen Prop,,,,,x,,,,,,,,
Felony DUI - Enhanced,,,,,,x,,,,,,,
Aggravated Battery (Firearm),,,x,,,,,,,,,,
False 911 Call,,,,,,,,,,,x,,
Computer Pornography,,,,,,,,,,,x,,
Trespass Property w/Dang Weap,,,,,x,,,,,,,,
Aggress/Panhandle/Beg/Solict,,,,,,,,,,x,,,
Sell/Man/Del Pos/w/int Heroin,,,,x,,,,,,,,,
Purchase/P/W/Int Cannabis,,,,x,,,,,,,,,
Uttering Worthless Check +$150,,,,,x,,,,,,,,
Deliver Cannabis 1000FTSch,,,,x,,,,,,,,,
Unlawful Conveyance of Fuel,,,,,x,,,,,,,,
Fail Register Career Offender,,,,,,,?,,,,,,
Lewd/Lasc Exhib Presence <16yr,,,,,,,,,,,x,,
Armed Trafficking in Cannabis,,,,x,,,,,,,,,
Dealing In Stolen Property,,,,,x,,,,,,,,
Trespass On School Grounds,,,,,,,,,,,x,,
Offer Agree Secure/Lewd Act,,,,,,,,,,,x,,
Sex Batt Faml/Cust Vict 12-17Y,,,x,,,,,,,,,,
Possession of Methadone,,,,x,,,,,,,,,
Possession Of Clonazepam,,,,x,,,,,,,,,
Trespass Struct/Convey Occupy,,,,,x,,,,,x,,,
Sell Cannabis,,,,x,,,,,,,,,
Compulsory Attendance Violation,,,,,,,?,,,,,,
Possess Controlled Substance,,,,x,,,,,,,,,
Unlawful Use Of Police Badges,,,,,x,,,,,,,,
Manage Busn W/O City Occup Lic,,,,,,,?,,,,,,
Deliver Cocaine 1000FT School,,,,x,,,,,,,,,
Sel Etc/Pos/w/Int Contrft Schd,,,,x,,,,,,,,,
Possession Of Anabolic Steroid,,,,x,,,,,,,,,
Exhibition Weapon School Prop,,,,,,,?,,,,,,
Purchase Of Cocaine,,,,x,,,,,,,,,
Deliver Cocaine 1000FT Park,,,,x,,,,,,,,,
Burglary Structure Occupied,,,,,x,,,,,,,,
Alcoholic Beverage Violation-FL,,,,,,x,,,,,,,
Attempted Deliv Control Subst,,,,x,,,,,,,,,
Possession of XLR11,,,,x,,,,,,,,,
